batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
47716,CrackIVF,16,763440,16,16000,100,10,42,99999,124559.68836514512,1.6035979788284749,0.0017399725038558245,1.601858006324619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.95625,0.906875
47717,CrackIVF,16,763456,16,16000,100,10,42,99999,124561.42567313509,1.7373079899698496,0.0018199789337813854,1.7354880110360682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.96875,0.919375
47718,CrackIVF,16,763472,16,16000,100,10,42,99999,124563.03431213018,1.6086389950942248,0.0017900019884109497,1.6068489931058139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.875,0.9125,0.800625
47719,CrackIVF,16,763488,16,16000,100,10,42,99999,124564.62307015317,1.5887580229900777,0.0017200072761625051,1.5870380157139152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.93125,0.865625
47720,CrackIVF,16,763504,16,16000,100,10,42,99999,124566.45620818017,1.8331380269955844,0.002120010321959853,1.8310180166736245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.95,0.905625
47721,CrackIVF,16,763520,16,16000,100,10,42,99999,124568.16943615559,1.7132279754150659,0.0017099955584853888,1.7115179798565805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.98125,0.940625
47722,CrackIVF,16,763536,16,16000,100,10,42,99999,124569.85455413815,1.6851179825607687,0.0018299906514585018,1.6832879919093102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.91875,0.845625
47723,CrackIVF,16,763552,16,16000,100,10,42,99999,124571.72163215,1.867078011855483,0.001980020897462964,1.86509799095802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9625,0.896875
47724,CrackIVF,16,763568,16,16000,100,10,42,99999,124573.39101014077,1.669377990765497,0.0027799978852272034,1.6665979928802699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.96875,0.921875
47725,CrackIVF,16,763584,16,16000,100,10,42,99999,124575.1560581557,1.7650480149313807,0.0019299914129078388,1.763118023518473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.98125,0.91875
47726,CrackIVF,16,763600,16,16000,100,10,42,99999,124576.82907616254,1.6730180068407208,0.0018690188881009817,1.6711489879526198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.975,0.903125
47727,CrackIVF,16,763616,16,16000,100,10,42,99999,124578.54517418309,1.7160980205517262,0.0017700076568871737,1.714328012894839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.93125,0.874375
47728,CrackIVF,16,763632,16,16000,100,10,42,99999,124580.25178217213,1.7066079890355468,0.0020599982235580683,1.7045479908119887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.9125,0.91625
47729,CrackIVF,16,763648,16,16000,100,10,42,99999,124581.91596117103,1.664178998908028,0.0021999876480549574,1.661979011259973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.94375,0.903125
47730,CrackIVF,16,763664,16,16000,100,10,42,99999,124583.6067791679,1.6908179968595505,0.0016500125639140606,1.6891679842956364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.93125,0.904375
47731,CrackIVF,16,763680,16,16000,100,10,42,99999,124585.29121716856,1.6844380006659776,0.0021700107026845217,1.682267989963293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9375,0.889375
47732,CrackIVF,16,763696,16,16000,100,10,42,99999,124586.98421617737,1.6929990088101476,0.0018110149540007114,1.691187993856147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.93125,0.88
47733,CrackIVF,16,763712,16,16000,100,10,42,99999,124588.77451418084,1.7902980034705251,0.0020099978428333998,1.7882880056276917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.90625,0.84625
47734,CrackIVF,16,763728,16,16000,100,10,42,99999,124590.62784319394,1.8533290131017566,0.0025909976102411747,1.8507380154915154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.93125,0.836875
47735,CrackIVF,16,763744,16,16000,100,10,42,99999,124592.35784117482,1.7299979808740318,0.0016799895092844963,1.7283179913647473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.975,0.89625
47736,CrackIVF,16,763760,16,16000,100,10,42,99999,124594.02655917802,1.6687180032022297,0.0017500133253633976,1.6669679898768663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9625,0.874375
47737,CrackIVF,16,763776,16,16000,100,10,42,99999,124595.62319717952,1.5966380015015602,0.0016599951777607203,1.5949780063237995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.875,0.925,0.8975
47738,CrackIVF,16,763792,16,16000,100,10,42,99999,124597.20733517315,1.5841379936318845,0.0018900027498602867,1.5822479908820242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.99375,0.950625
47739,CrackIVF,16,763808,16,16000,100,10,42,99999,124598.88950316235,1.6821679892018437,0.0019700091797858477,1.680197980022058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.875,0.95,0.89
47740,CrackIVF,16,763824,16,16000,100,10,42,99999,124600.5173411395,1.6278379771392792,0.0018199789337813854,1.6260179982054979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.975,0.905
47741,CrackIVF,16,763840,16,16000,100,10,42,99999,124602.3749691376,1.8576279981061816,0.0018700084183365107,1.855757989687845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.875,0.925,0.844375
47742,CrackIVF,16,763856,16,16000,100,10,42,99999,124604.08703715075,1.7120680131483823,0.0017099955584853888,1.710358017589897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.95,0.8925
