batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
50496,CrackIVF,16,807920,16,16000,100,10,42,99999,50794.82334299246,0.39727898547425866,0.0014599936548620462,0.3958189918193966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.9375,0.83375
50497,CrackIVF,16,807936,16,16000,100,10,42,99999,50795.17404199578,0.35069900332018733,0.0014300167094916105,0.3492689866106957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.94375,0.8825
50498,CrackIVF,16,807952,16,16000,100,10,42,99999,50795.51159098628,0.3375489905010909,0.0013799872249364853,0.3361690032761544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.925,0.75625
50499,CrackIVF,16,807968,16,16000,100,10,42,99999,50795.86402999121,0.3524390049278736,0.0017799902707338333,0.3506590146571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9625,0.825625
50500,CrackIVF,16,807984,16,16000,100,10,42,99999,50796.21276000398,0.34873001277446747,0.0015200057532638311,0.34721000702120364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.875,0.90625,0.81875
50501,CrackIVF,16,808000,16,16000,100,10,42,99999,50796.58699900028,0.37423899630084634,0.0017400016076862812,0.37249899469316006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.95,0.860625
50502,CrackIVF,16,808016,16,16000,100,10,42,99999,50796.94013798144,0.3531389811541885,0.0013200042303651571,0.35181897692382336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.9,0.8025
50503,CrackIVF,16,808032,16,16000,100,10,42,99999,50797.345177968964,0.405039987526834,0.0015500118024647236,0.4034899757243693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.94375,0.849375
50504,CrackIVF,16,808048,16,16000,100,10,42,99999,50797.72536698147,0.38018901250325143,0.001500011421740055,0.3786890010815114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9625,0.858125
50505,CrackIVF,16,808064,16,16000,100,10,42,99999,50798.09274699073,0.36738000926561654,0.0013700046110898256,0.3660100046545267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8125,0.90625,0.80875
50506,CrackIVF,16,808080,16,16000,100,10,42,99999,50798.442355997395,0.34960900666192174,0.001580017851665616,0.3480289888102561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.96875,0.881875
50507,CrackIVF,16,808096,16,16000,100,10,42,99999,50798.79823498777,0.35587899037636817,0.0015799887478351593,0.354299001628533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.93125,0.876875
50508,CrackIVF,16,808112,16,16000,100,10,42,99999,50799.1371039825,0.33886899473145604,0.0014599936548620462,0.337409001076594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.91875,0.79625
50509,CrackIVF,16,808128,16,16000,100,10,42,99999,50799.50268397806,0.36557999555952847,0.0015200057532638311,0.36405998980626464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.95625,0.859375
50510,CrackIVF,16,808144,16,16000,100,10,42,99999,50799.846702982904,0.34401900484226644,0.0014099932741373777,0.34260901156812906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.89375,0.79375
50511,CrackIVF,16,808160,16,16000,100,10,42,99999,50800.19076296594,0.3440599830355495,0.0014899997040629387,0.3425699833314866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.90625,0.795
50512,CrackIVF,16,808176,16,16000,100,10,42,99999,50800.507581967395,0.31681900145485997,0.0014090037439018488,0.3154099977109581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.95,0.831875
50513,CrackIVF,16,808192,16,16000,100,10,42,99999,50800.86223097169,0.3546490042936057,0.0015200057532638311,0.35312899854034185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8125,0.9,0.823125
50514,CrackIVF,16,808208,16,16000,100,10,42,99999,50801.24027997954,0.3780490078497678,0.00136898597702384,0.37668002187274396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.925,0.848125
