batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
25942,CrackIVF,16,415056,16,967,100,10,42,99999,44680.010715004755,0.3396800020709634,0.0023519969545304775,0.3373280051164329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.9625,0.95,554324920
25943,CrackIVF,16,415072,16,967,100,10,42,99999,44680.556778999744,0.5460639949887991,0.002688000677153468,0.5433759943116456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9375,0.99375,0.96125,554324920
25944,CrackIVF,16,415088,16,967,100,10,42,99999,44680.97242701333,0.4156480135861784,0.002528016921132803,0.4131199966650456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.98125,0.97375,554324920
25945,CrackIVF,16,415104,16,967,100,10,42,99999,44681.38191400794,0.409486994612962,0.002415996277704835,0.4070709983352572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.98125,0.960625,554324920
25946,CrackIVF,16,415120,16,967,100,10,42,99999,44681.78394500865,0.4020310007035732,0.0024320033844560385,0.3995989973191172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9625,0.9625,554324920
25947,CrackIVF,16,415136,16,967,100,10,42,99999,44682.28013601038,0.4961910017300397,0.002368004061281681,0.49382299766875803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.9875,0.97125,554324920
25948,CrackIVF,16,415152,16,967,100,10,42,99999,44682.67896701582,0.3988310054410249,0.0022239983081817627,0.39660700713284314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.95,0.91375,554324920
25949,CrackIVF,16,415168,16,967,100,10,42,99999,44683.16399102332,0.4850240075029433,0.002480024704709649,0.48254398279823363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.99375,0.965,554324920
25950,CrackIVF,16,415184,16,967,100,10,42,99999,44683.619879040634,0.4558880173135549,0.002368004061281681,0.4535200132522732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.99375,0.980625,554324920
25951,CrackIVF,16,415200,16,967,100,10,42,99999,44684.077111043734,0.4572320031002164,0.0025920162443071604,0.45463998685590923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.98125,0.9625,554324920
