batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1838,CrackIVF,16,29392,16,5875,100,10,42,99999,8554.002997960197,1.9492899882607162,0.25666900910437107,1.6926209791563451,0.0,0.0039199949242174625,0.0,0.0,0.0,0.0,0.24830101756379008,1,0.8125,0.80625,0.779375,228977697
1839,CrackIVF,16,29408,16,5875,100,10,42,99999,8556.638247944647,2.6352499844506383,0.23974099894985557,2.3955089855007827,0.0,0.003824010491371155,0.0,0.0,0.0,0.0,0.23154899827204645,1,0.5,0.6,0.543125,228977697
1840,CrackIVF,16,29424,16,5875,100,10,42,99999,8558.153846941423,1.5155989967752248,0.14474999625235796,1.3708490005228668,0.0,0.004928006092086434,0.0,0.0,0.0,0.0,0.13564599794335663,1,0.75,0.65625,0.621875,228977697
1841,CrackIVF,16,29440,16,5875,100,10,42,99999,8559.840435918886,1.6865889774635434,0.3472279931884259,1.3393609842751175,0.0,0.004447996616363525,0.0,0.0,0.0,0.0,0.33829998574219644,1,0.8125,0.725,0.68875,228977697
1842,CrackIVF,16,29456,16,5875,100,10,42,99999,8561.575631902087,1.7351959832012653,0.14228597865439951,1.5929100045468658,0.0,0.004879984771832824,0.0,0.0,0.0,0.0,0.133246008772403,1,0.8125,0.6875,0.601875,228977697
1843,CrackIVF,16,29472,16,5875,100,10,42,99999,8563.155277894111,1.5796459920238703,0.32460398506373167,1.2550420069601387,0.0,0.012064003385603428,0.0,0.0,0.0,0.0,0.30769198201596737,1,0.75,0.56875,0.53625,228977697
1844,CrackIVF,16,29488,16,5875,100,10,42,99999,8565.175207913853,2.019930019741878,0.2587180060800165,1.7612120136618614,0.0,0.004528003046289086,0.0,0.0,0.0,0.0,0.24967800709418952,1,0.75,0.70625,0.696875,228977697
1845,CrackIVF,16,29504,16,5875,100,10,42,99999,8566.577863908606,1.402655994752422,0.1354699779767543,1.2671860167756677,0.0,0.004606990842148662,0.0,0.0,0.0,0.0,0.1267349871341139,1,0.8125,0.725,0.659375,228977697
1846,CrackIVF,16,29520,16,5875,100,10,42,99999,8568.239941901993,1.6620779933873564,0.14324698713608086,1.5188310062512755,0.0,0.004879984771832824,0.0,0.0,0.0,0.0,0.1333109976258129,1,0.875,0.6625,0.615625,228977697
1847,CrackIVF,16,29536,16,5875,100,10,42,99999,8570.139552903129,1.8996110011357814,0.26954899658448994,1.6300620045512915,0.0,0.004143978003412485,0.0,0.0,0.0,0.0,0.26060501113533974,1,0.625,0.55,0.53875,228977697
